text,user
"RT @OccupyDemocrats: BREAKING: Elon Musk, the richest person in the world, tells a room full of CEOs that we should ""can"" Biden's historic…",bigdog1455
Biden wants to make federal government carbon neutral by 2050 https://t.co/VLfxPRXh1f,FmvInvesting
"RT @MySonHunter: While Joe Biden pretends he's a normal guy from Scranton, he actually lives a luxurious lifestyle.

@mirandadevine explain…",Jimhodg77195069
"RT @ChuckRossDC: NEW @FreeBeacon 
Hunter Biden met with an exec for a Chinese state-owned oil company to discuss ""highly strategic"" African…",Puanani01382620
RT @ColumbiaBugle: #Thread Tucker Carlson's Monologue Calling Out The Biden Administration &amp; The Bipartisan Push By Neo-Cons For A War With…,DavidWa32027558
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",whendeebadbird
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",KABPott
RT @Brick_Suit: Why does the inside of AOC's mask look like Biden's underwear? https://t.co/u3bZXx5oPV,JoeFDRusso1
RT @CawthornforNC: Just a reminder that Biden still has not stood up to China to hold them accountable for their part in unleashing the COV…,SaveTheseDogs
RT @MailOnline: WH holds secret meetings with media telling them to 'stop being mean to Biden' https://t.co/3ZZSHipDEc,lkjkhlkh
"RT @mkolken: Biden's Presidency is officially in lame duck mode: 

""Biden re-election poll shows dismal 22% support; Harris even worse at 1…",TEidukas
RT @Ms_Be_Free_83: HEY #BIDEN LETS ASK #BillClinton  HOW HIS #BuildBackBetter PROGRAM WORKED IN HAITI.,JerryButlerSmi1
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",nesowadnehunk
"""Biden Orders Federal Vehicles and Buildings to Use Renewable Energy by 2050"" by Lisa Friedman via NYT https://t.co/MtLgPFFXVa",AmandaFernan88
"RT @JDCocchiarella: Republicans will do anything to hurt President Biden politically.

The GOP is too radical to govern.",FireyTopaz
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",GermanJMorales1
RT @SierraClub: A bold new executive order from @POTUS serves as a critical first step to cutting pollution from the government’s own vehic…,DarrellPMWest
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,Aryiousb
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",sanswie2
@WSJ So Biden responds to a foreign adversary who has shown he is willing &amp; able to invade his neighbors by being v… https://t.co/poIvvQ5XIk,FlamingoGunner
"RT @jsolomonReports: Rep. AOC slams Elon Musk for opposing Biden’s climate spending bill |  Just The News 

https://t.co/aNqYooUDvZ",IMinchener
"RT @SenTedCruz: President Biden’s vaccine mandates are illegal, unconstitutional, and an abuse of power.
 
Taking the vaccine should be a d…",AshleyBrook88
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,missgailtalk
RT @IngrahamAngle: Elon Musk calls for Congress to throw out Biden's entire Build Back Better bill: 'Don't pass it' https://t.co/SsiOdrdXyI…,zoll_p
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",timwalshlac
"RT @JDCocchiarella: Republicans will do anything to hurt President Biden politically.

The GOP is too radical to govern.",Knarfeoz
RT @ArtValley818_: BREAKING: Biden Vaccine Mandate for Federal Contractors Blocked Nationwide!,SamsonMimon
"RT @OccupyDemocrats: BREAKING: Elon Musk, the richest person in the world, tells a room full of CEOs that we should ""can"" Biden's historic…",BurnData0
"RT @gellered: If you help me flip Florida's 15th District, one that is a +9 Biden district, Kevin McCarthy will never become Speaker of the…",ohnonotagn
"RT @glennbeck: If Putin invades Ukraine, then Biden just sold out the freedom of an entire country. I hope it was worth it, Joe. https://t.…",PaulNewell4
@mikepompeo Biden = President,Notagreatdrumm1
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,scoutabee
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,chelssutton
"RT @MonicaCrowley: The wheels have come off.  My latest -&gt; 

Biden's catastrophic collapse of American leadership https://t.co/dhR0Y39mS0 #…",yupperon
"RT @baileyjer: The records may contain information related to Tara Reade, the woman who alleged Biden sexually assaulted her in 1993. ]👉🏻…",WhosFibbing
"RT @TPostMillennial: NYT blasted for saying Biden's treasury nom was painted as communist because she's Russian

https://t.co/N8iWwsqj3x",INTJerk
RT @ANTONIOGARY44: POLL PANIC! Biden COLLAPSES To 22 PERCENT!!! https://t.co/naibL6cMMg via @YouTube,ANTONIOGARY44
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,bell_bell_bells
"RT @TheBeatWithAri: While the AP reported on the ""sluggish"" jobs report under President Biden, they called a similar number under Trump ""ro…",mmurray
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,marhigh
"RT @kaitlancollins: “I was very straightforward and there were no minced words,” President Biden tells reporters about his video call with…",Alexkennedy30
RT @PolitiFact: A photo of Jeffrey Epstein and Joe Biden that’s being shared online is not authentic — it was created using two separate ph…,Spacedad2
@jeffrey_samberg @TPostMillennial Thank you Joe Biden for bringing home our troops and ending the 20-year war?,Fennario_Wolf
